Canoe Variant,Loadcase 1 Score,Loadcase 2 Score,Loadcase 3 Score,Average Score
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.385811761,2.772534859,3.010017189,2.722787937
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.175511471,2.694086377,3.23740078,2.702332876
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.175511471,2.694086377,3.23740078,2.702332876
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.10228273,2.694086377,3.293461796,2.696610301
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.10228273,2.694086377,3.293461796,2.696610301
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",2.199870753,2.916974845,2.907359271,2.674734956
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.25, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",2.199870753,2.916974845,2.907359271,2.674734956
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.2, 0.0, 0.18, 0.8, 16.0)",2.199423984,2.772534859,3.010017189,2.660658678
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.4, 0.0, 0.0, 0.18, 0.8, 16.0)",2.199423984,2.772534859,3.010017189,2.660658678
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",3.144141422,2.694086377,2.061626651,2.633284817
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",3.144141422,2.694086377,2.061626651,2.633284817
